DataAut,Numero Autorizzazione,Soggetto,Piva,Via Autorizzazione,Civico Autorizzazione,Oggetto,Dettaglio Oggetto,Area,Durata,Data Inizio,Data Fine
13/07/16,198608/2016,CONDOMINIO VIA MORGAGNI GIOVANNI BATTISTA 36 ,80307360158,Via MORGAGNI GIOVANNI BATTISTA,36,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,67.099,90,05/09/16,03/12/16
13/07/16,218220/2016,CONDOMINIO DI VIA SAN VITTORE    ,97434990152,Via SAN VITTORE,34,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,34.06,90,29/08/16,26/11/16
13/07/16,218220/2016,CONDOMINIO DI VIA SAN VITTORE    ,97434990152,Via SAN VITTORE,34,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,11.88,90,29/08/16,26/11/16
13/07/16,218220/2016,CONDOMINIO DI VIA SAN VITTORE    ,97434990152,Via SAN VITTORE,34,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,7.983,90,29/08/16,26/11/16
13/07/16,218220/2016,CONDOMINIO DI VIA SAN VITTORE    ,97434990152,Via SAN VITTORE,34,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,16.94,90,29/08/16,26/11/16
13/07/16,218220/2016,CONDOMINIO DI VIA SAN VITTORE    ,97434990152,Via BANDELLO MATTEO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",37.96,90,29/08/16,26/11/16
13/07/16,218220/2016,CONDOMINIO DI VIA SAN VITTORE    ,97434990152,Via BANDELLO MATTEO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,26.18,90,29/08/16,26/11/16
13/07/16,218220/2016,CONDOMINIO DI VIA SAN VITTORE    ,97434990152,Via BANDELLO MATTEO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,13.5,90,29/08/16,26/11/16
13/07/16,252687/2016,"CONDOMINIO DI VIA VALLARSA,4 ",97350140154,Via VALLARSA,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,12.74,60,02/11/16,31/12/16
13/07/16,252687/2016,"CONDOMINIO DI VIA VALLARSA,4 ",97350140154,Via VALLARSA,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,5.88,60,02/11/16,31/12/16
13/07/16,256019/2016,"CONDOMINIO DI VIA LABEONE,4 ",80334000157,Via LABEONE,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",37.12,26,19/09/16,14/10/16
13/07/16,256019/2016,"CONDOMINIO DI VIA LABEONE,4 ",80334000157,Via LABEONE,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,7.48,26,19/09/16,14/10/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via GOLDONI CARLO,11,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",15.96,90,05/09/16,03/12/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via GOLDONI CARLO,11,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,12.54,90,05/09/16,03/12/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via GOLDONI CARLO,11,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",5.94,90,05/09/16,03/12/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via GOLDONI CARLO,11,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,5.94,90,05/09/16,03/12/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via POERIO CARLO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",30.66,90,05/09/16,03/12/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via POERIO CARLO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,9.3,90,05/09/16,03/12/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via POERIO CARLO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,11.16,90,05/09/16,03/12/16
13/07/16,258520/2016,CONDOMINIO VIA GOLDONI 11 ,95557350154,Via POERIO CARLO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Castello di tiro,1.98,90,05/09/16,03/12/16
13/07/16,258805/2016,CONDOMINIO VIA CASATI FELICE 7 ,80341380154,Via CASATI FELICE,7,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",47.45,120,29/08/16,26/12/16
13/07/16,258805/2016,CONDOMINIO VIA CASATI FELICE 7 ,80341380154,Via CASATI FELICE,7,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,21.45,120,29/08/16,26/12/16
13/07/16,264090/2016,CONDOMINIO VIA CONTE ROSSO 19 ,80326550151,Via CONTE ROSSO,19,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",26,90,12/09/16,10/12/16
13/07/16,264090/2016,CONDOMINIO VIA CONTE ROSSO 19 ,80326550151,Via CONTE ROSSO,19,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,4.2,90,12/09/16,10/12/16
13/07/16,266479/2016,CMB - COOPERATIVA MURATORI E BRACCIANTI DI CARPI ,154410369,Via CAMPANINI ALFREDO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",24.3,323,28/07/16,15/06/17
13/07/16,266479/2016,CMB - COOPERATIVA MURATORI E BRACCIANTI DI CARPI ,154410369,Via CAMPANINI ALFREDO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,11,323,28/07/16,15/06/17
14/07/16,,RIGAMONTI ARCH. GIANCARLO ,2060140130,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,22.75,40,16/05/16,24/06/16
14/07/16,,RIGAMONTI ARCH. GIANCARLO ,2060140130,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,19.5,40,16/05/16,24/06/16
15/07/16,152170/2016,CMB - COOPERATIVA MURATORI E BRACCIANTI DI CARPI ,154410369,Via GALVANI LUIGI,0,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili",Cesata,191.352,546,22/08/16,18/02/18
15/07/16,152214/2016,"CONDOMINIO DI VIA FEZZAN,2 ",95580050151,Via FEZZAN,2,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,4.56,60,29/08/16,27/10/16
15/07/16,153184/2016,IMPRESA BELLUSCHI SNC ,2470260130,Via TIZIANO VECELLIO,9,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,4.68,56,29/08/16,23/10/16
15/07/16,153222/2016,CONDOMINIO VIALE MONZA 110 ,80311680153,Viale MONZA,110,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",19.5,77,12/09/16,27/11/16
15/07/16,153222/2016,CONDOMINIO VIALE MONZA 110 ,80311680153,Viale MONZA,110,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,4.5,77,12/09/16,27/11/16
15/07/16,153222/2016,CONDOMINIO VIALE MONZA 110 ,80311680153,Viale MONZA,110,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,7.2,77,12/09/16,27/11/16
15/07/16,154860/2016,CONDOMINIO VIA L. ORNATO 35 ,95573590155,Via ORNATO LUIGI,35,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,46.462,90,19/09/16,17/12/16
15/07/16,174316/2016,CONDOMINIO VIA CAPPONI PIER LUIGI 5 ,80194140150,Via CAPPONI PIER LUIGI,5,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,9.25,110,14/09/16,01/01/17
15/07/16,174316/2016,CONDOMINIO VIA CAPPONI PIER LUIGI 5 ,80194140150,Via CAPPONI PIER LUIGI,5,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,11.1,110,14/09/16,01/01/17
15/07/16,174316/2016,CONDOMINIO VIA CAPPONI PIER LUIGI 5 ,80194140150,Via GIOTTO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,26.875,110,14/09/16,01/01/17
15/07/16,249486/2016,CONDOMINIO VIA FARUFFINI 17 ,80307920159,Via FARUFFINI FEDERICO,17,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",30,97,26/09/16,31/12/16
15/07/16,249486/2016,CONDOMINIO VIA FARUFFINI 17 ,80307920159,Via FARUFFINI FEDERICO,17,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,6.37,97,26/09/16,31/12/16
15/07/16,249486/2016,CONDOMINIO VIA FARUFFINI 17 ,80307920159,Via FARUFFINI FEDERICO,17,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,12.69,97,26/09/16,31/12/16
15/07/16,266395/2016,CDP INVESTIMENTI SOCIETÀ DI GESTIONE DEL RISPARMIO SPA ,10372531003,Viale EGINARDO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,30,120,,
15/07/16,266395/2016,CDP INVESTIMENTI SOCIETÀ DI GESTIONE DEL RISPARMIO SPA ,10372531003,Via SILVA GUGLIELMO,25,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,39.6,120,,
15/07/16,266395/2016,CDP INVESTIMENTI SOCIETÀ DI GESTIONE DEL RISPARMIO SPA ,10372531003,Via GIOIA FLAVIO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,42,120,,
15/07/16,270671/2016,CONDOMINIO VIA ALFIERI VITTORIO 16 ,95653200154,Via ALFIERI VITTORIO,16,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt 1,20",21,45,31/08/16,14/10/16
15/07/16,272340/2016,CONDOMINIO VIA LARIO 41 ,80174520157,Via LARIO,41,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,65.25,107,05/09/16,20/12/16
15/07/16,278223/2016,CONDOMINIO VIA CALCO 2 ,95641610159,Via AZARIO PIETRO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,26,120,07/09/16,04/01/17
